id,score,score_factor
0,5,very good
1,3,good
2,96,very good
3,3,good
4,68,very good
5,-4,bad
6,4,good
7,5,very good
8,-1,bad
9,4,good
10,-4,bad
11,3,good
12,1,good
13,1,good
14,3,good
15,9,very good
16,-1,bad
17,5,very good
18,5,very good
19,3,good
20,6,very good
21,4,good
22,20,very good
23,5,very good
24,12,very good
25,256,very good
26,3,good
27,1,good
28,3,good
29,16,very good
30,8,very good
31,1,good
32,4,good
33,3,good
34,1,good
35,1,good
36,1,good
37,1,good
38,3,good
39,1,good
40,3,good
41,1,good
42,1,good
43,6,very good
44,6,very good
45,3,good
46,1,good
47,1,good
48,1,good
49,4,good
50,4,good
51,4,good
52,82,very good
53,6,very good
54,1,good
55,1,good
56,1,good
57,1,good
58,4,good
59,6,very good
60,4,good
61,20,very good
62,5,very good
63,12,very good
64,256,very good
65,4,good
66,3,good
67,1,good
68,3,good
69,16,very good
70,8,very good
71,1,good
72,4,good
73,3,good
74,1,good
75,1,good
76,1,good
77,1,good
78,3,good
79,1,good
80,4,good
81,1,good
82,1,good
83,7,very good
84,3,good
85,1,good
86,1,good
87,1,good
88,3,good
89,2,good
90,4,good
91,1,good
92,1,good
93,6,very good
94,1,good
95,1,good
96,3,good
97,2,good
98,12,very good
99,12,very good
100,1,good
101,1,good
102,1,good
103,3,good
104,4,good
105,6,very good
106,1,good
107,1,good
108,4,good
109,1,good
110,3,good
111,1,good
112,1,good
113,6,very good
114,1,good
115,3,good
116,3,good
117,6,very good
118,1,good
119,5,very good
120,1,good
121,4,good
122,7,very good
123,1,good
124,16,very good
125,1,good
126,16,very good
127,16,very good
128,1,good
129,3,good
130,16,very good
131,1,good
132,5,very good
133,4,good
134,-1,bad
135,3,good
136,4,good
137,1,good
138,6,very good
139,1,good
140,6,very good
141,1,good
142,3,good
143,4,good
144,0,good
145,1,good
146,16,very good
147,3,good
148,3,good
149,1,good
150,1,good
151,14,very good
152,4,good
153,5,very good
154,3,good
155,1,good
156,-1,bad
157,3,good
158,1,good
159,6,very good
160,12,very good
161,1,good
162,1,good
163,5,very good
164,16,very good
165,16,very good
166,20,very good
167,1,good
168,1,good
169,1,good
170,1,good
171,3,good
172,3,good
173,1,good
174,1,good
175,1,good
176,5,very good
177,6,very good
178,6,very good
179,4,good
180,1,good
181,1,good
182,1,good
183,-5,bad
184,1,good
185,4,good
186,1,good
187,1,good
188,3,good
189,4,good
190,1,good
191,-3,bad
192,1,good
193,-1,bad
194,4,good
195,4,good
196,-5,bad
197,1,good
198,4,good
199,5,very good
200,1,good
201,1,good
202,1,good
203,4,good
204,4,good
205,3,good
206,1,good
207,1,good
208,1,good
209,1,good
210,1,good
211,1,good
212,1,good
213,1,good
214,6,very good
215,4,good
216,4,good
217,1,good
218,6,very good
219,20,very good
220,1,good
221,1,good
222,5,very good
223,1,good
224,1,good
225,1,good
226,1,good
227,1,good
228,1,good
229,1,good
230,2,good
231,2,good
232,3,good
233,1,good
234,3,good
235,3,good
236,4,good
237,4,good
238,4,good
239,1,good
240,1,good
241,6,very good
242,-12,very bad
243,-12,very bad
244,1,good
245,1,good
246,8,very good
247,4,good
248,12,very good
249,-3,bad
250,3,good
251,26,very good
252,1,good
253,8,very good
254,4,good
255,1,good
256,1,good
257,3,good
258,1,good
259,6,very good
260,6,very good
261,-1,bad
262,-1,bad
263,4,good
264,24,very good
265,1,good
266,3,good
267,4,good
268,4,good
269,4,good
270,1,good
271,-3,bad
272,4,good
273,16,very good
274,1,good
275,4,good
276,-1,bad
277,4,good
278,2,good
279,16,very good
280,-1,bad
281,16,very good
282,6,very good
283,4,good
284,8,very good
