id,score,score_factor
0,3,good
1,-1,bad
2,6,very good
3,4,good
4,1,good
5,-3,bad
6,-5,bad
7,4,good
8,-1,bad
9,1,good
10,4,good
11,2,good
12,1,good
13,1,good
14,1,good
15,1,good
16,2,good
17,3,good
18,1,good
19,1,good
20,1,good
21,4,good
22,1,good
23,1,good
24,3,good
25,-1,bad
26,1,good
27,1,good
28,3,good
29,-1,bad
30,4,good
31,12,very good
32,12,very good
33,4,good
34,6,very good
35,-1,bad
36,3,good
37,1,good
38,2,good
39,1,good
40,1,good
41,4,good
42,1,good
43,1,good
44,3,good
45,-1,bad
46,1,good
47,1,good
48,3,good
49,-1,bad
50,4,good
51,12,very good
52,12,very good
53,4,good
54,6,very good
55,-1,bad
56,3,good
57,1,good
58,2,good
59,1,good
60,1,good
61,4,good
62,1,good
63,1,good
64,3,good
65,-1,bad
66,1,good
67,1,good
68,3,good
69,-1,bad
70,4,good
71,12,very good
72,12,very good
73,4,good
74,6,very good
75,-1,bad
76,3,good
77,1,good
78,2,good
79,1,good
80,1,good
81,4,good
82,1,good
83,1,good
84,3,good
85,-1,bad
86,1,good
87,1,good
88,3,good
89,-1,bad
90,4,good
91,12,very good
92,12,very good
93,4,good
94,6,very good
95,-1,bad
96,3,good
97,1,good
98,2,good
99,1,good
100,1,good
101,4,good
102,1,good
103,1,good
104,3,good
105,-1,bad
106,1,good
107,1,good
108,3,good
109,-1,bad
110,4,good
111,12,very good
112,12,very good
113,4,good
114,6,very good
115,-1,bad
116,3,good
117,1,good
118,2,good
119,1,good
120,1,good
121,4,good
122,1,good
123,1,good
124,3,good
125,-1,bad
126,1,good
127,1,good
128,3,good
129,-1,bad
130,4,good
131,12,very good
132,12,very good
133,4,good
134,6,very good
135,-1,bad
136,3,good
137,1,good
138,2,good
139,1,good
140,1,good
141,4,good
142,1,good
143,1,good
144,3,good
145,-1,bad
146,1,good
147,1,good
148,3,good
149,-1,bad
150,4,good
151,12,very good
152,12,very good
153,4,good
154,6,very good
155,-1,bad
156,3,good
157,1,good
158,2,good
159,1,good
160,1,good
161,4,good
162,1,good
163,1,good
164,3,good
165,-1,bad
166,1,good
167,1,good
168,3,good
169,-1,bad
170,4,good
171,12,very good
172,12,very good
173,4,good
174,6,very good
175,-1,bad
176,3,good
177,1,good
178,2,good
179,1,good
180,1,good
181,4,good
182,1,good
183,1,good
184,3,good
185,-1,bad
186,1,good
187,1,good
188,3,good
189,-1,bad
190,4,good
191,12,very good
192,12,very good
193,4,good
194,6,very good
195,-1,bad
196,3,good
197,1,good
198,2,good
199,1,good
200,1,good
201,4,good
202,1,good
203,1,good
204,3,good
205,-1,bad
206,1,good
207,1,good
208,3,good
209,-1,bad
210,4,good
211,12,very good
212,12,very good
213,4,good
214,6,very good
215,-1,bad
216,3,good
217,1,good
218,2,good
219,1,good
220,1,good
221,4,good
222,1,good
223,1,good
224,3,good
225,-1,bad
226,1,good
227,1,good
228,3,good
229,-1,bad
230,4,good
231,12,very good
232,12,very good
233,4,good
234,6,very good
235,-1,bad
236,3,good
237,1,good
238,2,good
239,1,good
240,1,good
241,4,good
242,1,good
243,1,good
244,3,good
245,-1,bad
246,1,good
247,1,good
248,3,good
249,-1,bad
250,4,good
251,12,very good
252,12,very good
253,4,good
254,6,very good
255,-1,bad
256,3,good
257,1,good
258,2,good
259,1,good
260,1,good
261,4,good
262,1,good
263,1,good
264,3,good
265,-1,bad
266,1,good
267,1,good
268,3,good
269,-1,bad
270,4,good
271,12,very good
272,12,very good
273,4,good
274,6,very good
275,-1,bad
276,3,good
277,1,good
278,2,good
279,1,good
280,1,good
281,4,good
282,1,good
