id,score,score_factor
0,3,good
1,1,good
2,4,good
3,3,good
4,1,good
5,6,very good
6,1,good
7,8,very good
8,4,good
9,7,very good
10,-1,bad
11,4,good
12,1,good
13,3,good
14,3,good
15,16,very good
16,3,good
17,1,good
18,1,good
19,3,good
20,3,good
21,1,good
22,7,very good
23,2,good
24,4,good
25,1,good
26,15,very good
27,12,very good
28,1,good
29,1,good
30,1,good
31,1,good
32,1,good
33,1,good
34,3,good
35,1,good
36,12,very good
37,3,good
38,1,good
39,1,good
40,4,good
41,20,very good
42,1,good
43,24,very good
44,5,very good
45,1,good
46,1,good
47,10,very good
48,6,very good
49,1,good
50,3,good
51,8,very good
52,13,very good
53,3,good
54,7,very good
55,3,good
56,1,good
57,4,good
58,4,good
59,3,good
60,16,very good
61,3,good
62,12,very good
63,12,very good
64,1,good
65,3,good
66,3,good
67,1,good
68,3,good
69,12,very good
70,1,good
71,1,good
72,3,good
73,4,good
74,3,good
75,3,good
76,26,very good
77,16,very good
78,5,very good
79,1,good
80,6,very good
81,1,good
82,1,good
83,4,good
84,1,good
85,8,very good
86,1,good
87,2,good
88,4,good
89,1,good
90,1,good
91,1,good
92,1,good
93,4,good
94,4,good
95,1,good
96,6,very good
97,6,very good
98,4,good
99,1,good
100,1,good
101,1,good
102,1,good
103,1,good
104,8,very good
105,1,good
106,1,good
107,1,good
108,1,good
109,1,good
110,4,good
111,4,good
112,18,very good
113,4,good
114,3,good
115,6,very good
116,1,good
117,6,very good
118,-5,bad
119,4,good
120,-8,very bad
121,4,good
122,1,good
123,16,very good
124,3,good
125,1,good
126,1,good
127,-1,bad
128,4,good
129,1,good
130,1,good
131,7,very good
132,3,good
133,1,good
134,6,very good
135,4,good
136,1,good
137,16,very good
138,36,very good
139,3,good
140,1,good
141,3,good
142,1,good
143,4,good
144,4,good
145,12,very good
146,1,good
147,1,good
148,4,good
149,16,very good
150,6,very good
151,3,good
152,16,very good
153,1,good
154,1,good
155,4,good
156,4,good
157,1,good
158,1,good
159,16,very good
160,-5,bad
161,3,good
162,-1,bad
163,4,good
164,4,good
165,4,good
166,1,good
167,1,good
168,3,good
169,3,good
170,1,good
171,1,good
172,1,good
173,5,very good
174,4,good
175,1,good
176,-16,very bad
177,1,good
178,3,good
179,1,good
180,-1,bad
181,4,good
182,4,good
183,9,very good
184,4,good
185,2,good
186,-8,very bad
187,2,good
188,1,good
189,6,very good
