id,score,score_factor
0,3,good
1,3,good
2,4,good
3,1,good
4,5,very good
5,1,good
6,64,very good
7,5,very good
8,5,very good
9,1,good
10,4,good
11,4,good
12,1,good
13,1,good
14,4,good
15,-3,bad
16,3,good
17,8,very good
18,3,good
19,-1,bad
20,1,good
21,3,good
22,5,very good
23,26,very good
24,4,good
25,1,good
26,1,good
27,3,good
28,6,very good
29,26,very good
30,4,good
31,16,very good
32,6,very good
33,12,very good
34,4,good
35,4,good
36,16,very good
37,1,good
38,3,good
39,1,good
40,1,good
41,1,good
42,3,good
43,3,good
44,1,good
45,3,good
46,1,good
47,10,very good
48,1,good
49,3,good
50,4,good
51,3,good
52,1,good
53,38,very good
54,1,good
55,-3,bad
56,1,good
57,9,very good
58,3,good
59,2,good
60,1,good
61,1,good
62,-1,bad
63,1,good
64,7,very good
65,1,good
66,1,good
67,3,good
68,6,very good
69,3,good
70,-16,very bad
71,3,good
72,1,good
73,1,good
74,-9,very bad
75,3,good
76,1,good
77,1,good
78,8,very good
79,1,good
80,1,good
81,6,very good
82,-1,bad
83,3,good
84,6,very good
85,-4,bad
86,3,good
87,1,good
88,1,good
89,1,good
90,-5,bad
91,1,good
92,1,good
93,-3,bad
94,66,very good
95,2,good
96,6,very good
97,6,very good
98,1,good
99,1,good
100,4,good
101,3,good
102,4,good
103,4,good
104,1,good
105,1,good
106,1,good
107,3,good
108,18,very good
109,3,good
110,1,good
111,7,very good
112,4,good
113,1,good
114,12,very good
115,1,good
116,1,good
117,1,good
118,1,good
119,3,good
120,6,very good
121,4,good
122,16,very good
123,1,good
124,22,very good
125,3,good
126,1,good
127,5,very good
128,1,good
129,4,good
130,6,very good
131,1,good
132,3,good
133,1,good
134,4,good
135,-2,bad
136,1,good
137,4,good
138,4,good
139,-3,bad
140,32,very good
141,3,good
142,1,good
143,1,good
144,4,good
145,1,good
146,4,good
147,1,good
148,3,good
149,1,good
150,1,good
151,1,good
152,4,good
153,5,very good
154,-1,bad
155,8,very good
156,1,good
157,4,good
158,4,good
159,1,good
160,1,good
161,1,good
162,10,very good
163,3,good
164,1,good
165,4,good
166,12,very good
167,4,good
168,27,very good
169,27,very good
170,1,good
171,64,very good
172,1,good
173,6,very good
174,9,very good
175,7,very good
176,4,good
177,1,good
178,1,good
179,-3,bad
180,6,very good
181,-3,bad
182,-1,bad
183,-4,bad
184,8,very good
185,6,very good
186,-3,bad
187,1,good
188,-9,very bad
189,-4,bad
190,4,good
191,3,good
192,-1,bad
193,-1,bad
194,1,good
195,-1,bad
196,-3,bad
197,1,good
198,5,very good
199,1,good
200,-1,bad
201,-15,very bad
202,2,good
203,3,good
204,1,good
205,1,good
206,1,good
207,-1,bad
208,-1,bad
209,5,very good
210,-4,bad
211,1,good
212,-1,bad
213,5,very good
214,1,good
215,1,good
216,1,good
217,3,good
218,-1,bad
219,-1,bad
220,-1,bad
221,3,good
222,2,good
223,2,good
224,-1,bad
225,-1,bad
226,-6,very bad
227,3,good
228,-3,bad
229,1,good
230,1,good
231,-1,bad
232,6,very good
233,-3,bad
234,1,good
235,-72,very bad
236,1,good
237,7,very good
238,4,good
239,4,good
240,3,good
241,3,good
242,1,good
243,1,good
244,-1,bad
245,-1,bad
246,-3,bad
247,-1,bad
248,1,good
249,3,good
250,3,good
251,-8,very bad
252,3,good
253,-1,bad
254,1,good
255,1,good
256,1,good
257,1,good
258,-1,bad
259,8,very good
260,-1,bad
261,72,very good
262,-1,bad
263,-5,bad
264,4,good
265,1,good
266,1,good
267,3,good
268,1,good
269,3,good
270,-1,bad
271,1,good
272,1,good
273,3,good
274,1,good
275,1,good
276,-1,bad
277,1,good
278,-1,bad
279,1,good
280,3,good
281,-1,bad
282,1,good
283,3,good
284,4,good
285,5,very good
286,-3,bad
287,-1,bad
288,1,good
289,-4,bad
290,1,good
291,1,good
292,-1,bad
293,6,very good
294,5,very good
295,1,good
296,4,good
297,-3,bad
298,-4,bad
299,1,good
300,4,good
301,1,good
302,1,good
303,-4,bad
304,2,good
305,1,good
306,4,good
307,4,good
308,1,good
309,3,good
310,-1,bad
311,1,good
312,1,good
313,1,good
314,1,good
315,4,good
316,1,good
317,6,very good
318,15,very good
319,1,good
320,1,good
321,-3,bad
322,1,good
323,1,good
324,1,good
325,11,very good
326,-1,bad
327,1,good
328,1,good
329,-15,very bad
330,3,good
331,4,good
332,3,good
333,1,good
334,-2,bad
335,1,good
336,1,good
337,-1,bad
338,-1,bad
339,1,good
340,3,good
341,3,good
342,-1,bad
343,-1,bad
344,-1,bad
345,1,good
346,1,good
347,-6,very bad
348,1,good
349,1,good
350,1,good
351,4,good
352,4,good
353,-1,bad
354,1,good
355,1,good
356,1,good
357,-1,bad
358,-1,bad
359,1,good
360,1,good
361,-1,bad
362,3,good
363,1,good
364,12,very good
365,3,good
366,4,good
367,6,very good
368,1,good
369,-3,bad
370,-1,bad
371,4,good
372,1,good
373,1,good
374,3,good
375,3,good
