id,score,score_factor
0,3,good
1,1,good
2,5,very good
3,3,good
4,1,good
5,4,good
6,64,very good
7,64,very good
8,6,very good
9,1,good
10,4,good
11,4,good
12,1,good
13,1,good
14,-6,very bad
15,-1,bad
16,4,good
17,1,good
18,-4,bad
19,5,very good
20,1,good
21,4,good
22,2,good
23,1,good
24,-2,bad
25,4,good
26,1,good
27,3,good
28,-1,bad
29,4,good
30,1,good
31,4,good
32,3,good
33,1,good
34,-4,bad
35,1,good
36,-48,very bad
37,10,very good
38,10,very good
39,20,very good
40,1,good
41,1,good
42,8,very good
43,3,good
44,3,good
45,4,good
46,12,very good
47,3,good
48,4,good
49,1,good
50,4,good
51,1,good
52,9,very good
53,3,good
54,4,good
55,1,good
56,1,good
57,1,good
58,6,very good
59,1,good
60,1,good
61,3,good
62,4,good
63,8,very good
64,5,very good
65,6,very good
66,3,good
67,1,good
68,3,good
69,-3,bad
70,12,very good
71,1,good
72,1,good
73,64,very good
74,6,very good
75,8,very good
76,1,good
77,8,very good
78,1,good
79,1,good
80,1,good
81,1,good
82,3,good
83,-8,very bad
84,4,good
85,4,good
86,4,good
87,1,good
88,1,good
89,1,good
90,1,good
91,1,good
92,4,good
93,6,very good
94,16,very good
95,4,good
96,1,good
97,3,good
98,3,good
99,3,good
100,18,very good
101,4,good
102,6,very good
103,1,good
104,2,good
105,1,good
106,4,good
107,1,good
108,4,good
109,-1,bad
110,18,very good
111,6,very good
112,4,good
113,1,good
114,1,good
115,-2,bad
116,16,very good
117,6,very good
118,1,good
119,1,good
120,32,very good
121,-64,very bad
122,1,good
123,6,very good
124,6,very good
125,1,good
126,2,good
127,6,very good
128,-1,bad
129,6,very good
130,1,good
131,16,very good
132,2,good
133,1,good
134,1,good
135,1,good
136,1,good
137,1,good
138,8,very good
139,18,very good
140,4,good
141,1,good
142,4,good
143,6,very good
144,4,good
145,2,good
146,2,good
147,2,good
148,4,good
149,4,good
150,1,good
151,1,good
152,5,very good
153,3,good
154,1,good
155,12,very good
156,-3,bad
157,1,good
158,1,good
159,4,good
160,1,good
161,4,good
162,48,very good
163,1,good
164,1,good
165,-64,very bad
166,4,good
167,4,good
168,3,good
169,4,good
170,1,good
171,4,good
172,6,very good
173,8,very good
174,2,good
175,8,very good
176,1,good
177,1,good
178,16,very good
179,6,very good
180,-4,bad
181,1,good
182,8,very good
183,4,good
184,4,good
185,1,good
186,-1,bad
