id,score,score_factor
0,-3,bad
1,-32,very bad
2,-5,bad
3,1,good
4,-1,bad
5,3,good
6,1,good
7,1,good
8,9,very good
9,4,good
10,4,good
11,3,good
12,1,good
13,16,very good
14,3,good
15,7,very good
16,-1,bad
17,1,good
18,5,very good
19,4,good
20,3,good
21,6,very good
22,4,good
23,4,good
24,32,very good
25,1,good
26,3,good
27,-24,very bad
28,3,good
29,3,good
30,1,good
31,16,very good
32,4,good
33,-12,very bad
34,16,very good
35,1,good
36,1,good
37,1,good
38,1,good
39,13,very good
40,6,very good
41,4,good
42,4,good
43,-4,bad
44,3,good
45,-2,bad
46,5,very good
47,4,good
48,-4,bad
49,-3,bad
50,3,good
51,-3,bad
52,-3,bad
53,-24,very bad
54,1,good
55,-2,bad
56,3,good
57,4,good
58,4,good
59,3,good
60,3,good
61,1,good
62,-1,bad
63,4,good
64,32,very good
65,1,good
66,3,good
67,1,good
68,1,good
69,10,very good
70,-1,bad
71,1,good
72,-1,bad
73,1,good
74,5,very good
75,4,good
76,-3,bad
77,1,good
78,3,good
79,3,good
80,1,good
81,1,good
82,1,good
83,4,good
84,-3,bad
85,3,good
86,1,good
87,1,good
88,24,very good
89,1,good
90,7,very good
91,6,very good
92,1,good
93,1,good
94,6,very good
95,7,very good
96,1,good
97,1,good
98,-4,bad
99,1,good
100,-1,bad
101,3,good
102,-1,bad
103,12,very good
104,4,good
105,4,good
106,2,good
107,1,good
108,1,good
109,1,good
110,4,good
111,4,good
112,1,good
113,4,good
114,1,good
115,4,good
116,1,good
117,1,good
118,1,good
119,3,good
120,-1,bad
121,6,very good
122,1,good
123,4,good
124,3,good
125,1,good
126,-3,bad
127,4,good
128,20,very good
129,3,good
130,-1,bad
131,4,good
132,6,very good
133,1,good
134,1,good
135,1,good
136,4,good
137,3,good
138,1,good
139,1,good
140,3,good
141,1,good
142,12,very good
143,12,very good
144,2,good
145,6,very good
146,6,very good
147,1,good
148,4,good
149,4,good
150,1,good
151,1,good
152,4,good
153,3,good
154,2,good
155,1,good
156,1,good
157,4,good
158,1,good
159,-1,bad
160,3,good
161,6,very good
162,4,good
163,4,good
164,-10,very bad
165,2,good
166,-6,very bad
167,4,good
168,1,good
169,-4,bad
170,3,good
171,1,good
172,1,good
173,1,good
174,-3,bad
175,4,good
176,20,very good
177,1,good
178,1,good
179,-1,bad
180,4,good
181,-4,bad
182,-24,very bad
183,1,good
184,6,very good
185,3,good
186,1,good
187,1,good
188,3,good
189,6,very good
190,4,good
191,3,good
192,4,good
193,4,good
194,1,good
195,4,good
196,1,good
197,4,good
198,1,good
199,6,very good
200,12,very good
201,16,very good
202,4,good
203,1,good
204,8,very good
205,1,good
206,8,very good
207,5,very good
208,5,very good
209,4,good
210,64,very good
211,1,good
212,4,good
213,3,good
214,1,good
215,1,good
216,6,very good
217,-6,very bad
218,-3,bad
219,4,good
220,18,very good
221,1,good
222,3,good
223,4,good
224,3,good
225,1,good
226,4,good
227,1,good
228,-4,bad
229,1,good
230,1,good
231,2,good
232,4,good
233,5,very good
234,1,good
235,1,good
236,1,good
237,1,good
238,3,good
239,20,very good
240,4,good
241,1,good
242,6,very good
243,5,very good
244,1,good
245,1,good
246,1,good
247,16,very good
248,4,good
249,4,good
250,1,good
251,1,good
252,3,good
253,16,very good
254,4,good
255,4,good
256,1,good
257,4,good
258,2,good
259,1,good
260,5,very good
261,1,good
262,1,good
263,1,good
264,-1,bad
265,-1,bad
266,-1,bad
267,2,good
268,1,good
269,-3,bad
270,3,good
271,1,good
272,5,very good
273,16,very good
274,4,good
275,4,good
276,1,good
277,-384,very bad
278,4,good
279,6,very good
280,1,good
281,1,good
282,1,good
283,1,good
284,1,good
285,-1,bad
286,-1,bad
287,6,very good
288,1,good
289,4,good
290,5,very good
291,3,good
292,16,very good
293,3,good
294,-4,bad
295,4,good
296,3,good
297,1,good
298,1,good
299,4,good
300,1,good
301,1,good
302,4,good
303,-1,bad
304,4,good
305,16,very good
306,1,good
307,-10,very bad
308,1,good
309,-3,bad
310,9,very good
311,1,good
312,-1,bad
313,-16,very bad
314,3,good
315,3,good
316,4,good
317,5,very good
318,1,good
319,1,good
320,1,good
321,1,good
322,1,good
323,48,very good
324,1,good
325,1,good
326,1,good
327,16,very good
328,3,good
329,-1,bad
330,16,very good
331,4,good
332,-3,bad
333,2,good
334,4,good
335,1,good
336,-1,bad
337,-4,bad
338,11,very good
339,1,good
340,1,good
341,1,good
342,1,good
343,3,good
344,3,good
345,11,very good
346,4,good
347,4,good
348,5,very good
349,5,very good
350,6,very good
351,18,very good
352,48,very good
353,48,very good
354,-8,very bad
355,1,good
356,-3,bad
357,3,good
358,4,good
359,1,good
360,-3,bad
361,6,very good
362,-4,bad
363,6,very good
364,1,good
365,1,good
366,4,good
367,-1,bad
368,4,good
369,3,good
370,-3,bad
371,1,good
372,2,good
373,1,good
374,1,good
375,0,good
376,4,good
377,3,good
378,3,good
379,4,good
380,5,very good
381,1,good
382,4,good
383,4,good
384,216,very good
385,3,good
386,1,good
387,1,good
388,6,very good
389,16,very good
390,1,good
391,4,good
392,3,good
393,10,very good
394,4,good
395,7,very good
396,1,good
397,8,very good
398,9,very good
399,66,very good
400,4,good
401,4,good
402,3,good
403,4,good
404,1,good
405,1,good
406,6,very good
407,16,very good
408,1,good
409,1,good
410,1,good
411,12,very good
412,1,good
413,1,good
414,3,good
415,1,good
416,3,good
417,-1,bad
418,6,very good
419,1,good
420,1,good
421,4,good
422,1,good
423,4,good
424,1,good
425,4,good
426,6,very good
427,1,good
428,1,good
429,6,very good
430,-1,bad
431,1,good
432,10,very good
433,1,good
434,2,good
435,16,very good
436,3,good
437,4,good
438,26,very good
439,1,good
440,4,good
441,2,good
442,3,good
443,4,good
444,3,good
445,-9,very bad
446,4,good
