id,score,score_factor
0,6,very good
1,-7,very bad
2,1,good
3,3,good
4,1,good
5,1,good
6,-8,very bad
7,-1,bad
8,6,very good
9,1,good
10,4,good
11,1,good
12,1,good
13,3,good
14,4,good
15,1,good
16,1,good
17,1,good
18,3,good
19,4,good
20,1,good
21,15,very good
22,4,good
23,-1,bad
24,5,very good
25,3,good
26,4,good
27,3,good
28,4,good
29,10,very good
30,6,very good
31,1,good
32,-1,bad
33,1,good
34,5,very good
35,1,good
36,9,very good
37,4,good
38,3,good
39,16,very good
40,4,good
41,76,very good
42,5,very good
43,3,good
44,3,good
45,4,good
46,5,very good
47,1,good
48,3,good
49,1,good
50,-6,very bad
51,5,very good
52,1,good
53,4,good
54,9,very good
55,1,good
56,8,very good
57,-3,bad
58,90,very good
59,3,good
60,1,good
61,10,very good
62,1,good
63,1,good
64,1,good
65,4,good
66,4,good
67,1,good
68,3,good
69,8,very good
70,-1,bad
71,1,good
72,1,good
73,8,very good
74,4,good
75,3,good
76,4,good
77,3,good
78,3,good
79,1,good
80,4,good
81,1,good
82,-5,bad
83,3,good
84,3,good
85,4,good
86,1,good
87,5,very good
88,1,good
89,1,good
90,1,good
91,4,good
92,16,very good
93,-12,very bad
94,1,good
95,50,very good
96,-2,bad
97,4,good
98,1,good
99,14,very good
100,3,good
101,4,good
102,3,good
103,1,good
104,1,good
105,4,good
106,1,good
107,1,good
108,9,very good
109,1,good
110,12,very good
111,4,good
112,1,good
113,1,good
114,1,good
115,82,very good
116,4,good
117,1,good
118,-1,bad
119,1,good
120,1,good
121,3,good
122,-3,bad
123,4,good
124,3,good
125,1,good
126,10,very good
127,-1,bad
128,1,good
129,1,good
130,1,good
131,1,good
132,16,very good
133,3,good
134,-3,bad
135,1,good
136,5,very good
137,6,very good
138,1,good
139,1,good
140,4,good
141,1,good
142,4,good
143,3,good
144,1,good
145,-3,bad
146,-1,bad
147,-1,bad
148,1,good
149,6,very good
150,1,good
151,1,good
152,1,good
153,-1,bad
154,22,very good
155,1,good
156,2,good
157,4,good
158,4,good
159,5,very good
160,24,very good
161,1,good
162,5,very good
163,4,good
164,1,good
165,1,good
166,-3,bad
167,1,good
168,1,good
169,1,good
170,3,good
171,1,good
172,3,good
173,1,good
174,-1,bad
175,1,good
176,5,very good
177,12,very good
178,1,good
179,-2,bad
180,1,good
181,1,good
182,5,very good
183,6,very good
184,6,very good
185,22,very good
186,1,good
187,-4,bad
188,1,good
189,24,very good
190,3,good
191,1,good
192,1,good
193,3,good
194,-8,very bad
195,3,good
196,1,good
197,6,very good
198,1,good
199,1,good
200,1,good
201,1,good
202,6,very good
203,4,good
204,1082,very good
205,1,good
206,1,good
207,5,very good
208,1,good
209,-4,bad
210,1,good
211,1,good
212,1,good
213,3,good
214,1,good
215,10,very good
216,5,very good
217,5,very good
218,1,good
219,3,good
220,3,good
221,12,very good
222,1,good
223,9,very good
224,9,very good
225,3,good
226,4,good
227,16,very good
228,4,good
229,4,good
230,4,good
231,26,very good
232,16,very good
233,1,good
234,1,good
235,-1,bad
236,4,good
237,1,good
238,3,good
239,28,very good
240,4,good
241,4,good
242,32,very good
243,4,good
244,4,good
245,4,good
246,18,very good
247,1,good
248,-3,bad
249,4,good
250,3,good
251,4,good
252,16,very good
253,16,very good
254,5,very good
255,1,good
256,1,good
257,3,good
258,-4,bad
259,1,good
260,4,good
261,4,good
262,2,good
263,2,good
264,1,good
265,-3,bad
266,-3,bad
267,-1,bad
268,1,good
269,3,good
270,1,good
271,1,good
272,4,good
273,-1,bad
274,-2,bad
275,1,good
276,-5,bad
277,2,good
278,1,good
279,3,good
280,4,good
281,1,good
282,4,good
283,12,very good
284,22,very good
285,10,very good
286,1,good
287,6,very good
288,1,good
289,1,good
290,4,good
291,1,good
292,1,good
293,-2,bad
294,1,good
295,1,good
296,1,good
297,4,good
298,4,good
299,3,good
300,3,good
301,1,good
302,16,very good
303,1,good
304,1,good
305,1,good
306,1,good
307,1,good
308,3,good
309,1,good
310,1,good
311,1,good
312,-1,bad
313,1,good
314,4,good
315,3,good
316,1,good
317,1,good
318,1,good
319,192,very good
320,3,good
321,9,very good
322,3,good
323,1,good
324,9,very good
325,-1,bad
326,-4,bad
327,-1,bad
328,1,good
329,1,good
330,1,good
331,1,good
332,1,good
333,1,good
334,4,good
335,1,good
336,-3,bad
337,-1,bad
338,3,good
339,3,good
340,1,good
341,3,good
342,3,good
343,4,good
344,6,very good
345,1,good
346,1,good
347,4,good
348,2,good
349,4,good
350,-1,bad
351,1,good
352,4,good
353,4,good
354,1,good
355,1,good
356,4,good
357,1,good
358,5,very good
359,-72,very bad
360,-4,bad
361,1,good
362,1,good
363,4,good
364,6,very good
365,7,very good
366,4,good
367,1,good
368,1,good
369,1,good
370,1,good
371,30,very good
372,4,good
373,3,good
374,4,good
375,1,good
376,3,good
377,1,good
378,3,good
379,4,good
380,1,good
381,1,good
382,1,good
383,1,good
384,1,good
385,4,good
386,1,good
387,1,good
388,24,very good
389,24,very good
390,4,good
391,16,very good
392,6,very good
393,1,good
394,1,good
395,5,very good
396,16,very good
397,-3,bad
398,2,good
399,13,very good
400,4,good
401,3,good
402,20,very good
403,6,very good
404,4,good
405,7,very good
406,5,very good
407,4,good
408,4,good
409,3,good
410,4,good
411,4,good
412,1,good
413,4,good
414,1,good
415,1,good
416,16,very good
417,1,good
418,4,good
419,5,very good
420,3,good
421,1,good
422,8,very good
423,2,good
424,-1,bad
425,16,very good
426,1,good
427,4,good
428,1,good
429,1,good
430,3,good
431,1,good
432,-1,bad
433,7,very good
434,4,good
435,1,good
436,4,good
437,-1,bad
438,-1,bad
439,4,good
440,1,good
441,4,good
442,1,good
443,1,good
444,1,good
445,1,good
446,4,good
447,1,good
448,4,good
449,4,good
450,-1,bad
451,1,good
452,1,good
453,4,good
454,48,very good
455,1,good
456,8,very good
457,5,very good
458,4,good
459,4,good
460,8,very good
461,1,good
462,16,very good
463,1,good
464,1,good
465,4,good
466,4,good
467,4,good
468,4,good
469,1,good
470,4,good
471,3,good
472,1,good
473,6,very good
474,-3,bad
475,1,good
476,4,good
477,4,good
478,1,good
479,1,good
480,3,good
481,4,good
482,1,good
483,12,very good
484,2,good
485,1,good
486,3,good
487,-1,bad
488,3,good
489,12,very good
490,1,good
491,-3,bad
492,3,good
493,2,good
494,1,good
495,-3,bad
496,-162,very bad
497,-3,bad
498,-3,bad
499,1,good
500,5,very good
501,1,good
502,5,very good
503,13,very good
504,1,good
505,1,good
506,1,good
507,1,good
508,6,very good
509,1,good
510,3,good
511,1,good
512,-1,bad
513,1,good
514,3,good
515,6,very good
516,5,very good
517,1,good
518,1,good
519,-8,very bad
520,16,very good
521,1,good
522,4,good
523,1,good
524,12,very good
525,3,good
526,4,good
527,1,good
528,5,very good
529,4,good
530,1,good
531,4,good
532,8,very good
533,3,good
534,4,good
535,1,good
536,3,good
537,6,very good
538,-1,bad
539,3,good
540,3,good
541,6,very good
542,1,good
543,18,very good
544,1,good
545,4,good
546,4,good
547,1,good
548,1,good
549,16,very good
550,3,good
551,1,good
552,5,very good
553,1,good
554,18,very good
555,1,good
556,1,good
557,4,good
558,4,good
559,4,good
560,4,good
561,4,good
562,1,good
563,-7,very bad
564,1,good
565,1,good
566,4,good
567,12,very good
568,5,very good
569,1,good
570,1,good
571,4,good
572,-4,bad
573,3,good
574,6,very good
575,16,very good
576,1,good
577,16,very good
578,1,good
579,6,very good
580,4,good
581,3,good
582,4,good
583,7,very good
584,6,very good
585,1,good
586,1,good
587,6,very good
588,4,good
589,16,very good
590,1,good
591,4,good
592,5,very good
593,4,good
594,-2,bad
595,1,good
596,4,good
597,16,very good
598,3,good
