id,score,score_factor
0,4,good
1,1,good
2,-1,bad
3,4,good
4,8,very good
5,6,very good
6,4,good
7,6,very good
8,1,good
9,6,very good
10,3,good
11,1,good
12,3,good
13,3,good
14,6,very good
15,10,very good
16,1,good
17,1,good
18,12,very good
19,4,good
20,1,good
21,1,good
22,1,good
23,1,good
24,1,good
25,6,very good
26,1,good
27,16,very good
28,16,very good
29,6,very good
30,4,good
31,18,very good
32,1,good
33,1,good
34,1,good
35,1,good
36,4,good
37,4,good
38,4,good
39,4,good
40,4,good
41,1,good
42,-1,bad
43,1,good
44,6,very good
45,2,good
46,1,good
47,4,good
48,4,good
49,4,good
50,16,very good
51,12,very good
52,1,good
53,1,good
54,1,good
55,12,very good
56,4,good
57,1,good
58,16,very good
59,6,very good
60,6,very good
61,2,good
62,1,good
63,4,good
64,4,good
65,4,good
66,16,very good
67,12,very good
68,1,good
69,1,good
70,1,good
71,12,very good
72,4,good
73,1,good
74,16,very good
75,6,very good
76,4,good
77,1,good
78,3,good
79,-1,bad
80,8,very good
81,3,good
82,1,good
83,4,good
84,1,good
85,1,good
86,4,good
87,1,good
88,8,very good
89,3,good
90,16,very good
91,16,very good
92,-2,bad
93,1,good
94,1,good
95,4,good
96,1,good
97,1,good
98,6,very good
99,3,good
100,6,very good
101,4,good
102,1,good
103,5,very good
104,-1,bad
105,1,good
106,16,very good
107,5,very good
108,1,good
109,1,good
110,1,good
111,4,good
112,1,good
113,1,good
114,3,good
115,16,very good
116,4,good
117,9,very good
118,10,very good
119,36,very good
120,4,good
121,3,good
122,1,good
123,1,good
124,16,very good
125,4,good
126,4,good
127,1,good
128,0,good
129,-2,bad
130,-2,bad
131,-2,bad
132,4,good
133,-2,bad
134,3,good
135,3,good
136,4,good
137,1,good
138,1,good
139,-2,bad
140,16,very good
141,4,good
142,4,good
143,1,good
144,0,good
145,-2,bad
146,-2,bad
147,-2,bad
148,4,good
149,-2,bad
150,3,good
151,3,good
152,4,good
153,1,good
154,1,good
155,-2,bad
156,4,good
157,-1,bad
158,1,good
159,16,very good
160,1,good
161,1,good
162,1,good
163,1,good
164,-5,bad
165,1,good
166,3,good
167,1,good
168,8,very good
169,4,good
170,64,very good
171,1,good
172,-12,very bad
173,-12,very bad
174,1,good
175,4,good
176,6,very good
177,4,good
178,1,good
179,1,good
180,1,good
181,2,good
182,9,very good
183,6,very good
184,6,very good
185,10,very good
186,1,good
187,1,good
188,6,very good
189,1,good
190,4,good
191,4,good
192,20,very good
193,4,good
194,5,very good
195,3,good
196,-4,bad
197,1,good
198,1,good
199,40,very good
200,-1,bad
201,1,good
202,1,good
203,1,good
204,4,good
205,1,good
206,1,good
207,4,good
208,1,good
209,1,good
210,3,good
211,1,good
212,16,very good
213,4,good
214,4,good
215,1,good
216,1,good
217,6,very good
218,4,good
219,4,good
220,3,good
221,1,good
222,18,very good
223,1,good
224,3,good
225,1,good
226,1,good
227,26,very good
228,1,good
229,4,good
230,1,good
231,1,good
232,1,good
233,4,good
234,1,good
235,3,good
236,4,good
237,1,good
238,4,good
239,4,good
240,3,good
241,1,good
242,1,good
243,4,good
244,4,good
245,4,good
246,8,very good
247,1,good
248,4,good
249,1,good
250,1,good
251,4,good
252,1,good
253,1,good
254,2,good
255,1,good
256,1,good
257,1,good
258,1,good
259,3,good
260,4,good
261,4,good
262,4,good
263,1,good
264,6,very good
265,3,good
266,8,very good
267,3,good
268,-1,bad
269,1,good
270,1,good
271,2,good
272,2,good
273,3,good
274,5,very good
275,4,good
276,3,good
277,4,good
278,-6,very bad
279,4,good
280,1,good
281,4,good
282,1,good
283,1,good
284,1,good
285,-3,bad
286,1,good
287,1,good
288,-8,very bad
289,4,good
290,4,good
291,1,good
292,7,very good
293,4,good
294,1,good
