id,score,score_factor
0,6,very good
1,4,good
2,12,very good
3,3,good
4,-16,very bad
5,2,good
6,5,very good
7,1,good
8,3,good
9,8,very good
10,1,good
11,1,good
12,6,very good
13,3,good
14,3,good
15,-2,bad
16,1,good
17,60,very good
18,3,good
19,2,good
20,3,good
21,4,good
22,5,very good
23,3,good
24,3,good
25,-4,bad
26,1,good
27,1,good
28,6,very good
29,3,good
30,4,good
31,6,very good
32,4,good
33,1,good
34,4,good
35,6,very good
36,1,good
37,4,good
38,4,good
39,1,good
40,1,good
41,6,very good
42,4,good
43,8,very good
44,1,good
45,1,good
46,3,good
47,16,very good
48,-1,bad
49,1,good
50,1,good
51,3,good
52,1,good
53,1,good
54,1,good
55,3,good
56,4,good
57,1,good
58,20,very good
59,1,good
60,1,good
61,3,good
62,1,good
63,4,good
64,8,very good
65,4,good
66,3,good
67,1,good
68,1,good
69,3,good
70,1,good
71,2,good
72,4,good
73,3,good
74,10,very good
75,4,good
76,7,very good
77,12,very good
78,3,good
79,24,very good
80,64,very good
81,1,good
82,6,very good
83,6,very good
84,-1,bad
85,1,good
86,3,good
87,2,good
88,2,good
89,3,good
90,1,good
91,6,very good
92,8,very good
93,-5,bad
94,3,good
95,5,very good
96,1,good
97,-1,bad
98,1,good
99,3,good
100,1,good
101,1,good
102,1,good
103,8,very good
104,4,good
105,4,good
106,16,very good
107,4,good
108,-3,bad
109,-3,bad
110,3,good
111,3,good
112,4,good
113,1,good
114,6,very good
115,3,good
116,6,very good
117,6,very good
118,1,good
119,7,very good
120,3,good
121,4,good
122,1,good
123,7,very good
124,8,very good
125,1,good
126,-1,bad
127,1,good
128,1,good
129,16,very good
130,4,good
131,12,very good
132,2,good
133,5,very good
134,-3,bad
135,1,good
136,1,good
137,-2,bad
138,10,very good
139,3,good
140,16,very good
141,1,good
142,4,good
143,3,good
144,3,good
145,1,good
146,4,good
147,3,good
148,3,good
149,6,very good
150,1,good
151,1,good
152,1,good
153,1,good
154,4,good
155,1,good
156,1,good
157,-3,bad
158,3,good
159,1,good
160,4,good
161,4,good
162,2,good
163,1,good
164,-1,bad
165,8,very good
166,-1,bad
167,4,good
168,1,good
169,3,good
170,4,good
171,3,good
172,4,good
173,4,good
174,-1,bad
175,4,good
176,4,good
177,12,very good
178,6,very good
179,1,good
180,-1,bad
181,1,good
182,2,good
183,-1,bad
184,4,good
185,9,very good
186,4,good
187,-4,bad
188,4,good
189,4,good
190,1,good
191,5,very good
192,1,good
193,4,good
194,1,good
195,1,good
196,1,good
197,60,very good
198,5,very good
199,3,good
200,3,good
201,4,good
202,1,good
