id,score,score_factor
488,1,good
489,1,good
490,1,good
491,1,good
492,6,very good
493,3,good
494,4,good
495,6,very good
496,2,good
497,3,good
498,1,good
499,4,good
500,-5,bad
501,8,very good
502,6,very good
503,1,good
504,-4,bad
505,3,good
506,3,good
507,3,good
508,-3,bad
509,-2,bad
510,1,good
511,1,good
512,4,good
513,-2,bad
514,1,good
515,3,good
516,4,good
517,1,good
518,7,very good
519,7,very good
520,2,good
521,2,good
522,3,good
523,-4,bad
524,5,very good
525,1,good
526,4,good
527,-1,bad
528,4,good
529,12,very good
530,12,very good
531,1,good
532,1,good
533,1,good
534,8,very good
535,-1,bad
536,-2,bad
537,1,good
538,3,good
539,-1,bad
540,1,good
541,1,good
542,4,good
543,1,good
544,3,good
545,1,good
546,1,good
547,-1,bad
548,4,good
549,3,good
550,3,good
551,-1,bad
552,6,very good
553,4,good
554,3,good
555,-3,bad
556,4,good
557,1,good
558,12,very good
559,3,good
560,50,very good
561,1,good
562,1,good
563,3,good
564,6,very good
565,1,good
566,1,good
567,1,good
568,-5,bad
569,1,good
570,1,good
571,120,very good
572,4,good
573,1,good
574,-3,bad
575,1,good
576,1,good
577,1,good
578,32,very good
579,4,good
580,4,good
581,4,good
582,1,good
583,4,good
584,2,good
585,1,good
586,1,good
587,1,good
588,1,good
589,8,very good
590,1,good
591,1,good
592,1,good
593,1,good
594,1,good
595,1,good
596,4,good
597,1,good
598,1,good
599,1,good
600,1,good
601,3,good
602,4,good
603,3,good
604,3,good
605,3,good
606,3,good
607,3,good
608,1,good
609,-12,very bad
610,-3,bad
611,1,good
612,4,good
613,-1,bad
614,1,good
615,1,good
616,4,good
617,1,good
618,1,good
619,1,good
620,4,good
621,3,good
622,1,good
623,1,good
624,-3,bad
625,-30,very bad
626,1,good
627,1,good
628,1,good
629,1,good
630,3,good
631,-3,bad
632,-1,bad
633,4,good
634,4,good
635,1,good
636,-1,bad
637,-3,bad
638,4,good
639,1,good
640,6,very good
641,3,good
642,3,good
643,2,good
644,-12,very bad
645,-6,very bad
646,-3,bad
647,-3,bad
648,-3,bad
649,9,very good
650,6,very good
651,1,good
652,6,very good
653,-1,bad
654,-3,bad
655,1,good
656,6,very good
657,1,good
658,1,good
659,3,good
660,4,good
661,4,good
662,1,good
663,3,good
664,1,good
665,1,good
666,-3,bad
667,1,good
668,4,good
669,2,good
670,1,good
671,1,good
672,1,good
673,1,good
674,8,very good
675,8,very good
676,3,good
677,1,good
678,1,good
679,4,good
680,4,good
681,-1,bad
682,-4,bad
683,1,good
684,1,good
685,1,good
686,-3,bad
687,3,good
688,1,good
689,1,good
690,1,good
691,4,good
692,4,good
693,4,good
694,1,good
695,1,good
696,4,good
697,3,good
698,3,good
699,1,good
700,1,good
701,82,very good
702,-4,bad
703,1,good
704,1,good
705,16,very good
706,1,good
707,1,good
708,6,very good
709,1,good
710,-1,bad
711,-1,bad
712,-1,bad
713,1,good
714,1,good
715,-2,bad
716,1,good
717,1,good
718,1,good
719,1,good
720,-3,bad
721,-3,bad
722,3,good
723,3,good
724,1,good
725,1,good
726,7,very good
727,7,very good
728,-1,bad
729,4,good
730,12,very good
731,1,good
732,1,good
733,4,good
734,3,good
735,2,good
736,2,good
737,2,good
738,1,good
739,3,good
740,4,good
741,1,good
742,5,very good
743,5,very good
744,2,good
745,6,very good
746,6,very good
747,2,good
748,4,good
749,1,good
750,12,very good
751,6,very good
752,6,very good
753,-1,bad
754,1,good
755,1,good
756,4,good
757,3,good
758,-3,bad
759,-3,bad
760,-1,bad
761,3,good
762,3,good
763,1,good
764,1,good
765,1,good
766,3,good
767,1,good
768,1,good
769,1,good
770,1,good
771,1,good
772,1,good
773,1,good
774,-3,bad
775,-3,bad
776,3,good
777,3,good
778,1,good
779,1,good
780,7,very good
781,7,very good
782,-1,bad
783,4,good
784,12,very good
785,1,good
786,4,good
787,3,good
788,2,good
789,2,good
790,2,good
791,1,good
792,3,good
