0,以前买过，用着很好，是正品。这次又买了，还有赠品，好高兴。这次包装比以前改进很大。
1,东西不错，赠品齐全，５分好评！ 快递遇到个新手，头一次送错了地方，３个小时后才送到，还需要加强业务训练。
2,快递很快，产品不错，但是就是拿到手的时候有瓶没拧紧，有点就出来了，就直接拿着去洗了个头，蛮舒服的。还送了个吹风机，不错
3,评价 发货速度快，包装好，价格实惠，有需要下次再来购买。
4,快递速度很快，可是分开发货应该通知客户一声，产品不错，洗发水拿到手的时候有瓶没拧紧，有点就出来了，送了几个小瓶装，还送了个吹风机，不错。 服务态度不错。
5,洗发水的味道比较好闻。香气淡淡的。和超市里买的味道一样。买三送三。用了之后也比较舒服。香气也比较持久。本人很喜欢，下次还会在这里买。
6,很划算，意想不到的是还赠了一把吹风机，好高兴，是正品哦
7,宝贝已收到！很满意！是正品！物流还好！价格便宜！包装很好！大赞一个！
8,还行吧，这款不是很冰爽，只有一点点冰爽的赶脚，第二天还是挺柔顺的。 包装还不错，这次没有漏液见图，物流挺给力了，好评！
9,东西收到啦！包装非常好，宝洁正品，非常实惠，很好，很实惠。活动买的，好划算呢？好评好评好评。
10,聚划算非常的划算，活动量非常的大，很满意。就是不能指定快递，导致运费有手续费产生。
11,太划算了，超值呀，三大瓶，还赠有很多的小瓶，两瓶80毫升的，两小瓶护发素，竟还有一个吹风机，真高兴！[呲牙]下次还回来买！
12,想不到ENS物流也给力，很快就到了，包装很好，宝贝没破损，聚或算买的99元3瓶加一瓶小的，比超市便宜点，已收藏店铺，以后宝洁的产品都来你家购买，希望多的活动哦！
13,宝贝收到了非常好，发货物流也很快很满意点赞了。
14,物流太快了   给力    味道不错    就是还没用   用后再评价    包装很严紧
15,货已到家，很满意，是正品，怎么别人送了吹风机，我却没有，唉好失望，价格也挺实惠的，发货还挺快的，包装挺好，宝贝没破损。好评吧！下次记得送赠品哟！
16,非常满意的一次购物，货真价实，正品！香味是一样的！快递也很给力！！
17,收到的时候还好，没有漏出来，箱子也完好，里面还包了一层气垫的。500ML的中瓶大小，刚好一楼一个可以用。
18,绝对正品，和超市买的一样。本来已经挺便宜了，结果还送了个吹风机，惊喜啊。已收藏，以后固定在你家买了。哈哈^&omega;^～
19,挺划算的，还送了很多东西，洗了两次感觉很好，洗完头发不油腻，很顺滑，也没有出现头痒的现象。
20,洗头水回来了  包装很好好  没有漏  物流很快  赞一个
21,宝贝看起来不错，气垫包装完好无损，特划算，比实体店便宜很多，待使用后再予追评。
22,"宝贝不错,外观看质量与卖家描述一致,店家发货及时,快递也很给力.等使用后再来追述!先习惯性给5星好评哈! 宝贝不错,外观看质量与卖家描述一致,店家发货及时,快递也很给力.等使用后再来追述!先习惯性给5星好评哈!"
23,很便宜，送了电吹风，质量又好，很喜欢！赠品多，比超市便宜！
24,还没开始用~~看着很不错~~比超市便宜多了~~~再来光顾
25,第二天就到了，速度很快，而且是正品，味道和粘稠度都是跟我在超市买的一样，上次双十一也是在这家店买的，信誉很好
26,快递真的超级快～两天就到了，三大瓶加上两瓶小样，真心划算～包装也没破损～相信海飞丝～
27,包装严实，太划算了，不过还没用，用过再来追评，物流超快，满意的一次网购
28,好东西，又便宜又是正品，还送了两个小瓶装。特别喜欢。棒极了！！
29,很不错，这已经是第二次购买了。妈妈一直说很不错，这次购买还送了我很多小礼品呢，谢谢哦。一如既往支持
30,洗发水的味道比较好闻。香气淡淡的。和超市里买的味道一样。买三送三。用了之后也比较舒服。香气也比较持久
31,宝贝签收好几天才来得及看  真心不错还送了很多东西  尤其是吹风机  昨天刚摔坏了  卖家真是及时雨啊  一直在用海飞丝去屑效果好
32,我一直在使用海飞丝这一品牌，我喜欢它使我设有尴尬的头皮屑，老板还有赠品送喜欢。价格也合理。赞一个！使用后再来续评。
33,非常好，发货快，顺丰物流给力!价格实惠。洗了，去屑干净，是正品。3大瓶一小瓶，划算啊！
34,购买了好几次啦！大瓶的，很划算，你值得拥有。
35,很划算，买了那么多瓶，也没有像其他买家说的露出来的问题。很超值，应该是正品吧。
36,一直在天猫超市买洗漱用品，价钱比超市便宜好多，质量没的说.值得购买，赞
37,东西收到啦，很满意，本人很少评论，这次必须得说说，快递像神一样速度，下午拍的，第二天中午就到了，快递小哥还特别好，问有没有垃圾需要带下去，第一次碰见这样的快递小哥，真心不错，赞一个～
38,好！掌柜的服务态度真好，发货很快。商品质量也相当不错。太喜欢了，谢谢！  　　好卖家，真有耐心，我终于买到想要的东西了。谢谢卖家。掌柜太善良了，真是干一行懂一行呀。在掌柜的指导下我都快变内行人士了！  　　卖家服务真周到。以后带同事一起来。  　宝贝质量不错，很喜欢了。谢谢掌柜货到了，比图片上看到的好多了3Q！
39,一如既往的好，快递也蛮快的，包装也很好，好评
40,看着还不错哦。包装的很结实。不错不错。还没有用不知道是不是真的，用完后再来追加。
41,东西的质量很好，价钱还特别实惠，适合老百姓的选择！ 咨询时态度热情、积极！
42,
43,全5好评，聚划算99元3大瓶，一瓶80ml的，很划算，希望是正品，不伤发哦
44,二维码可以扫出来应该是正品，物流服务都是一流的价格也实惠，挺满意的。等用后再来追加吧。
45,感觉是正品，用完感觉头发很柔顺，棒棒的，一如既往得好
46,宝贝今天就收到了，真是太划算了，包装也非常认真，谢谢卖家！以后会继续光顾的。
47,东西真心不错，实惠还有吹风机赠送。好评
48,包装很牢固，价格又实惠，不错，发货还快.用后感觉还可以 不错
49,我觉得超超值，送了两套旅行套，还有吹风机，哈哈哈，赶上了，全5分好评
50,以后还会再来的 正品 实惠 还有送吹风机 客服态度很好 快递也很给力哦
51,很满意，已经是第二次购买了，比超市便宜更实惠，店家还送了礼物，五星好评！
52,好，昨天下单今天就到货了，包装严实全5分好评
53,忘记拍照了，才用一次，还可以吧，毕竟是旗舰店，相对比较放心，送的三个80ml的旅行装，正好出去带着很方便。发货很速度呢。
54,买了好多次了！妈妈用了好！就买给他用的！送的礼物也好多！很喜欢还会光顾的！
55,洗发水已经到货，包装完好，太一给力了，价廉物美，还买3送4，特别谢谢老板还送了个吹风机。以后买洗发水就是你家了。
56,还是海飞丝的去屑效果好，超大的三瓶还有三瓶赠品，真是超值 很好
57,收到的是正品，已经用过非常好用舒服，值得推进，下次我会再来哦
58,包装很牢固，价格又实惠，不错，发货还快。
